path,date
test/data/IMG_20230625_134538.jpg,2024-02-02 00:00:00+00:00
test/data/IMG_20230625_134718.jpg,2024-04-13 00:00:00+00:00
test/data/IMG_20230625_134755.jpg,2023-07-05 00:00:00+00:00
test/data/IMG_20230625_134824.jpg,2023-12-06 00:00:00+00:00
test/data/IMG_20230625_134911.jpg,2023-12-13 00:00:00+00:00
test/data/IMG_20230625_135011.jpg,2023-06-20 00:00:00+00:00
test/data/IMG_20230625_135136.jpg,2024-08-11 00:00:00+00:00
test/data/IMG_20230625_135352.jpg,2023-09-28 00:00:00+00:00
test/data/IMG_20230625_135357.jpg,2023-10-23 00:00:00+00:00
test/data/milk.webp,2022-09-24 00:00:00+00:00
test/data/photo_2023-06-25_17-41-43.jpg,2023-06-08 00:00:00+00:00
test/data/photo_2023-06-25_17-41-44.jpg,2024-02-10 00:00:00+00:00
test/data/photo_2023-06-25_17-41-51.jpg,2024-04-10 00:00:00+00:00
test/data/photo_2023-06-25_17-41-53.jpg,2024-05-17 00:00:00+00:00
test/data/photo_2023-06-25_17-42-00.jpg,2023-08-09 00:00:00+00:00
test/data/photo_2023-06-25_17-42-14.jpg,2023-07-09 00:00:00+00:00
test/data/photo_2023-06-25_17-47-56.jpg,2023-08-13 00:00:00+00:00
test/data/photo_2023-06-25_17-47-59.jpg,2023-07-16 00:00:00+00:00
test/data/photo_2023-06-25_17-48-10.jpg,2023-06-25 00:00:00+00:00
test/data/photo_2023-06-25_20-02-43.jpg,2023-06-25 00:00:00+00:00
test/data/photo_2023-06-25_20-02-45.jpg,2023-08-22 00:00:00+00:00
test/data/photo_2023-06-25_20-02-47.jpg,2023-11-08 00:00:00+00:00
